TimeElapsed(s),GazeX,GazeY,PlayerScore
3.651855,20.79864,-244.396,0
3.685364,18.10579,-243.4255,0
3.718501,17.37235,-235.7812,0
3.750236,11.41022,-247.1956,0
3.783308,13.8702,-262.2736,0
3.818587,47.72766,-242.5283,0
3.851868,32.16556,-236.6404,0
3.88096,23.1117,-255.5246,0
3.918718,32.19427,-271.8632,0
3.947534,27.04192,-258.7158,0
3.981049,27.74152,-249.8666,0
4.018222,33.98865,-247.5082,0
4.047,28.16173,-246.749,0
4.084454,26.00712,-254.6284,0
4.116123,18.44228,-253.0595,0
4.149947,91.49863,-258.9157,0
4.183463,180.1942,-258.0349,0
4.2149,183.3663,-259.0402,0
4.247421,177.2436,-256.9437,0
4.281879,167.5065,-256.1006,0
4.316444,171.5517,-252.2202,0
4.352169,175.0594,-251.1817,0
4.383574,173.434,-252.3721,0
4.414144,180.6685,-253.5396,0
4.450507,183.0414,-239.1778,0
4.4834,107.0185,-252.4806,0
4.516956,-324.6362,-269.1164,0
4.549191,-755.1887,-285.3461,0
4.583925,-832.5,-287.5183,0
4.614255,-836.3923,-286.6886,0
4.648653,-833.2062,-282.6814,0
4.685259,-833.4031,-281.0307,0
4.716235,-833.996,-287.8698,0
4.751053,-830.0886,-286.4191,0
4.784577,-828.3036,-283.7062,0
4.817166,-833.3781,-288.5627,0
4.850376,-835.4811,-294.0696,0
4.881319,-829.8594,-293.7382,0
4.918183,-598.6509,-292.2495,0
4.949639,-275.3331,-275.9909,0
4.98035,-171.9068,-263.723,0
5.018436,-166.4066,-269.488,0
5.05046,-169.2103,-273.7497,0
5.080671,-169.0744,-269.1138,0
5.117765,-182.4897,-265.4842,0
5.14906,-177.5665,-265.3741,0
5.184365,-173.5293,-261.4882,0
5.21759,-179.7257,-256.0044,0
5.248364,-166.3171,-263.6618,0
5.282503,-88.28902,-264.367,0
5.315413,-29.85699,-248.7457,0
5.349838,-32.9237,-244.5436,0
5.381046,-37.80756,-249.159,0
5.415876,-30.80935,-249.4883,0
5.447026,-25.96238,-252.7012,0
5.481906,-35.72417,-255.3253,0
5.517276,-32.11841,-250.308,0
5.546852,-14.62417,-252.0166,0
5.58391,55.41103,-249.8734,0
5.617284,120.6948,-248.1782,0
5.647532,128.5896,-242.2416,0
5.680688,133.0879,-237.2428,0
5.714104,140.9004,-242.2155,0
5.747637,145.3238,-247.1789,0
5.784734,141.0187,-250.0061,0
5.818724,163.7875,-220.5991,0
5.853214,473.2846,245.898,0
5.881756,867.3904,700.3841,0
5.913891,985.2837,723.358,0
5.948874,997.4185,713.1414,0
5.981154,1001.262,709.7773,0
6.018737,1006.448,714.5551,0
6.050851,891.6935,654.4865,0
6.081252,519.9107,496.7312,0
6.11386,265.0348,416.7557,0
6.150035,260.4988,410.9505,0
6.184395,258.907,412.286,0
6.214097,254.4198,418.1005,0
6.2472,256.9487,419.2398,0
6.280102,264.7957,427.7705,0
6.316573,261.3508,438.1342,0
6.346844,250.0281,443.1798,0
6.382371,242.8516,443.859,0
6.414351,558.1331,464.3948,0
6.448403,1744.56,516.0982,0
6.483968,1752.099,516.3962,0
6.517113,1741.056,518.3263,0
6.551982,1733.099,524.3776,0
6.584513,1727.491,525.2678,0
6.613491,1721.485,527.0068,0
6.648617,1663.213,522.7683,0
6.684372,1500.557,501.3123,0
6.71345,1397.005,491.6759,0
6.74789,1358.764,487.376,0
6.783249,1337.347,488.9977,0
6.8167,1319.229,493.5386,0
6.853142,1286.34,499.3297,0
6.885915,1267.825,503.2052,0
6.91652,1258.62,501.75,0
6.947433,1130.213,517.619,0
6.98125,791.9503,551.7979,0
7.016039,568.4612,567.8783,0
7.050694,547.907,583.5509,0
7.082908,533.799,594.8789,0
7.116635,524.7399,597.1676,0
7.148704,518.1454,596.5297,0
7.18043,503.5608,604.5261,0
7.21969,496.4099,610.9824,0
7.248498,488.8273,611.8961,0
7.284181,475.745,612.7602,0
7.318181,469.7659,617.5128,0
7.349057,463.951,616.9411,0
7.385592,434.6794,599.5364,0
7.418651,429.6624,599.9106,0
7.446771,422.7621,608.0104,0
7.483106,406.7833,612.3929,0
7.518213,387.6004,617.7039,0
7.552314,369.5805,620.4497,0
7.582554,358.557,614.6598,0
7.615096,344.749,618.3403,0
7.647757,334.7744,617.639,0
7.685412,303.397,619.9592,0
7.71922,292.0565,629.3789,0
7.747688,276.7664,632.5615,0
7.7842,264.1464,624.8831,0
7.818329,257.8376,622.2079,0
7.847171,247.3266,620.4036,0
7.883168,242.07,616.6865,0
7.916171,239.2219,617.3651,0
7.951868,234.3971,625.4091,0
7.981249,207.3649,628.9183,0
8.016349,175.8767,633.243,0
8.052014,184.4271,629.3568,0
8.081038,186.5992,629.2928,0
8.114314,186.5562,639.8661,0
8.147246,187.186,640.9403,0
8.184958,391.1054,664.9178,0
8.213694,633.1575,687.2341,0
8.248207,670.2338,675.9324,0
8.28325,668.1798,675.1954,0
8.317193,665.3493,672.6105,0
8.352029,680.1334,678.8647,0
8.381402,688.5314,678.7518,0
8.418,896.1426,702.414,0
8.447711,1119.7,735.0588,0
8.480497,1145.911,736.6572,0
8.517433,1146.507,734.6438,0
8.550603,1154.353,748.8957,0
8.584068,1157.779,760.5701,0
8.616342,1155.936,757.7712,0
8.650269,1191.815,764.0386,0
8.684455,1157.975,762.7272,0
8.713874,1163.397,763.1856,0
8.748233,1168.259,763.6489,0
8.782919,1175.815,763.0049,0
8.813467,1361.975,768.4786,0
8.849606,1589.354,774.4196,0
8.885269,1648.195,780.0969,0
8.914134,1642.89,776.4444,0
8.946774,1639.168,769.719,0
8.981352,1653.199,772.1807,0
9.013748,1672.522,776.1207,0
9.050418,1679.13,759.0928,0
9.082789,1680.401,760.9606,0
9.114176,1679.969,763.6685,0
9.148241,1687.167,770.3115,0
9.184638,1697.548,785.6057,0
9.218271,1707.917,780.893,0
9.25034,1712.091,769.875,0
9.282047,1707.739,782.0087,0
9.313604,1711.102,775.6652,0
9.347005,1713.204,779.5302,0
9.385262,1700.112,772.8271,0
9.418262,1692.671,771.296,0
