TimeElapsed(s),GazeX,GazeY
25.68592,1786.196,251.6358
25.71697,1831.212,259.4695
25.74715,1843.863,277.7035
25.78548,1815.333,279.3504
25.81597,1806.184,285.5987
25.84854,1822.662,284.4676
25.88179,1778.024,286.3896
25.91596,1801.014,297.946
25.94946,1800.074,298.2101
25.99115,1801.893,298.427
26.0186,1800.508,291.1257
26.04959,1818.154,304.4047
26.08462,1840.667,318.8774
26.11706,1834.402,309.7817
26.15076,1804.191,333.9781
26.18228,1757.687,309.0028
26.21757,1752.392,281.0901
26.25142,1771.223,266.7906
26.28404,1760.643,251.0261
26.31561,1776.827,258.5722
26.34713,1780.959,275.0229
26.38127,1770.122,287.3071
26.41755,1800.38,276.8464
26.44937,1806.982,268.128
26.48357,1774.754,271.2693
26.51575,1789.403,256.8104
26.5501,1780.175,254.8436
26.58288,1757.101,274.7715
26.61503,1751.101,310.177
26.64683,1741.153,337.882
26.68142,1735.77,362.4431
26.71516,1726.5,366.7051
26.75405,1733.53,353.228
26.78185,1733.53,353.228
26.81377,1737.14,351.6912
26.84887,1731.344,325.3683
26.8821,1738.788,325.0061
26.91435,1732.642,318.453
26.94953,1733.651,322.6174
26.98239,1722.733,317.882
27.01628,1713.382,317.1491
27.04921,1729.656,318.8319
27.08022,1735.968,321.5433
27.117,1738.063,326.8409
27.149,1732.617,310.6203
27.18231,1732.719,318.9553
27.21624,1722.024,322.3858
27.25025,1695.998,313.4387
27.28364,1694.464,317.9037
27.31749,1719.572,326.2829
27.35094,1778.729,340.0764
27.38306,1829.689,363.9527
27.41576,1876.995,389.9562
27.45077,1860.009,386.8171
27.48509,1845.303,385.658
27.52046,1838.241,395.6803
27.54776,1828.878,389.3098
27.58043,1821.531,393.1123
27.61791,1817.574,396.4917
27.64982,1812.721,400.1775
27.68368,1804.332,409.1239
27.71823,1814.189,408.5829
27.74848,1830.575,414.744
27.78046,1856.504,439.8238
27.81334,1845.124,428.7972
27.8491,1834.016,423.2704
27.88551,1815.206,416.5204
27.9178,1812.875,412.796
27.95098,1825.787,408.6473
27.98148,1820.665,402.6544
28.01468,1807.616,414.5248
28.04725,1806.714,427.1113
28.08472,1805.716,426.119
28.11786,1818.364,431.1263
28.14945,1834.669,453.0499
28.18048,1804.812,460.2496
28.21449,1777.206,434.0644
28.24683,1802.886,412.9326
28.2841,1793.208,402.3227
28.31765,1774.252,404.7909
28.34892,1777.313,419.6069
28.38154,1787.135,429.8317
28.41551,1782.349,441.0739
28.44689,1435.248,550.4249
28.48584,648.4076,718.5768
28.51885,208.0315,793.2914
28.55052,196.8938,762.5532
28.58733,205.7706,751.496
28.61383,211.4823,771.9538
28.64843,212.7293,732.3188
28.681,212.839,690.3008
28.71488,217.9734,681.7678
28.74964,604.2883,667.3647
28.78002,1102.213,642.287
28.81833,1211.146,656.2869
28.85041,1216.263,679.5189
28.89248,1227.181,674.6591
28.91805,1228.791,659.4517
28.94815,1226.739,662.1586
28.9847,1246.84,659.9774
29.01697,1257.727,652.9306
29.04676,1256.192,649.8219
29.08286,1489.594,648.5065
29.11362,1663.483,639.6806
29.14691,1675.266,624.0106
29.18609,1682.345,603.9009
29.21338,1681.101,631.3417
29.24959,1671.837,666.7355
29.28283,1649.15,663.951
29.31495,1627.661,658.9158
29.35213,1611.658,651.91
29.38433,1372.816,682.6078
29.41559,1324.988,693.1121
29.44722,1305.903,699.5027
29.48368,1294.939,711.2615
29.51756,1084.835,788.8711
29.54776,598.0897,941.2286
29.58169,276.9549,1028.42
29.61401,227.9621,1028.819
29.65482,226.5819,994.3259
29.68313,226.5819,994.3259
29.71534,195.2966,977.6931
29.74809,183.8336,975.153
29.78415,167.7169,956.2355
29.81709,165.7211,939.211
29.84749,155.9093,955.2196
29.88465,145.6638,990.6392
29.91802,139.1063,1011.469
29.95037,89.19727,866.8397
29.98011,39.56858,716.3904
30.01773,43.30458,692.4495
30.04793,50.42051,663.8117
30.08508,22.57201,664.0799
30.11516,29.31778,656.9524
30.14991,26.70961,650.9465
30.18552,27.67191,646.6532
30.21749,26.40151,656.511
30.2506,45.1506,563.1484
30.28137,28.11121,399.7387
30.31569,-1.816994,332.2441
30.34877,4.705516,314.2725
30.38071,13.92024,293.9703
30.42076,18.64709,288.9271
30.45092,19.61661,295.9876
30.48561,18.51878,304.2848
30.5178,20.17507,317.3383
30.54838,30.09115,313.3881
30.58188,39.7357,312.8845
30.61761,38.63419,322.7997
30.64982,30.99909,322.9544
30.68326,28.7598,335.853
30.72479,22.54154,333.1539
30.75013,28.66854,334.2479
30.78045,32.68024,337.8375
30.81784,36.48263,340.9301
30.84941,36.3532,342.6439
30.8807,39.76842,346.6369
30.91819,46.36407,353.0888
30.94792,48.31979,349.1285
30.98332,27.24529,342.3209
31.01488,-101.7473,367.4201
